City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
lalmohan,22.3384,90.7419,81.45,70,5,8.14,BD,1619889557
lorengau,-2.0226,147.2712,79.83,81,72,2.8,PG,1619889557
yellowknife,62.456,-114.3525,25.0,63,75,13.8,CA,1619889557
cherskiy,68.75,161.3,-2.87,99,33,2.77,RU,1619889558
namibe,-15.1961,12.1522,76.87,74,4,9.48,AO,1619889558
busselton,-33.65,115.3333,57.0,95,80,3.36,AU,1619889558
minab,27.1467,57.0801,86.0,58,40,6.91,IR,1619889559
sandwick,60.0,-1.25,44.6,65,90,8.05,GB,1619889559
saint george,37.1041,-113.5841,82.99,20,1,3.44,US,1619889559
san patricio,28.017,-97.5169,72.0,100,90,12.66,US,1619889560
punta arenas,-53.15,-70.9167,46.4,71,20,8.05,CL,1619889560
port alfred,-33.5906,26.891,62.17,65,0,2.77,ZA,1619889560
bredasdorp,-34.5322,20.0403,55.4,82,0,3.44,ZA,1619889561
hilo,19.7297,-155.09,71.6,73,90,8.05,US,1619889561
luderitz,-26.6481,15.1594,67.26,49,0,8.23,NA,1619889561
wanning,18.8003,110.3967,78.4,88,17,5.53,CN,1619889562
altamira,-3.2033,-52.2064,78.8,89,75,2.3,BR,1619889562
paducah,37.0834,-88.6001,73.0,40,1,6.91,US,1619889315
yorkton,51.2167,-102.4677,66.2,32,20,6.91,CA,1619889307
arraial do cabo,-22.9661,-42.0278,73.4,73,75,5.75,BR,1619889562
tiksi,71.6872,128.8694,19.51,100,95,2.95,RU,1619889563
chokurdakh,70.6333,147.9167,-1.3,100,53,3.67,RU,1619889563
atuona,-9.8,-139.0333,78.33,74,7,7.09,PF,1619889563
bluff,-46.6,168.3333,48.0,85,3,4.0,NZ,1619889564
amvrosiyivka,47.7935,38.4777,59.32,77,100,7.11,UA,1619889564
mayo,38.8876,-76.5119,63.0,25,1,9.22,US,1619889564
thompson,55.7435,-97.8558,21.2,86,90,11.5,CA,1619889303
mataura,-46.1927,168.8643,48.0,85,3,4.0,NZ,1619889565
moyale,3.5167,39.0584,69.62,79,82,5.21,KE,1619889565
tasiilaq,65.6145,-37.6368,28.4,93,20,6.91,GL,1619889566
castro,-24.7911,-50.0119,73.51,51,51,5.64,BR,1619889566
kurumkan,54.3,110.3,37.33,77,100,3.49,RU,1619889566
hofn,64.2539,-15.2082,38.61,66,93,19.8,IS,1619889566
ulaangom,49.9811,92.0667,45.59,37,99,16.11,MN,1619889567
guerrero negro,27.9769,-114.0611,72.63,53,6,7.81,MX,1619889567
albany,42.6001,-73.9662,50.0,57,20,18.41,US,1619889283
vaini,-21.2,-175.2,75.2,88,40,14.97,TO,1619889568
zetel,53.4022,7.9645,48.2,76,70,1.14,DE,1619889568
bathsheba,13.2167,-59.5167,86.0,51,20,19.57,BB,1619889568
severo-kurilsk,50.6789,156.125,35.74,97,100,22.66,RU,1619889568
bambous virieux,-20.3428,57.7575,75.2,88,40,3.44,MU,1619889569
ribeira grande,38.5167,-28.7,62.6,94,75,16.11,PT,1619889569
novaya ladoga,60.1025,32.3019,37.99,26,83,2.59,RU,1619889569
yulara,-25.2406,130.9889,59.0,38,75,6.91,AU,1619889570
norman wells,65.282,-126.8329,37.4,56,20,6.06,CA,1619889570
tromso,69.6496,18.957,32.0,64,75,3.44,NO,1619889570
zschopau,50.75,13.0667,53.01,66,100,1.99,DE,1619889571
esperance,-33.8667,121.9,53.6,82,2,9.22,AU,1619889571
avarua,-21.2078,-159.775,78.8,73,90,6.91,CK,1619889501
dikson,73.5069,80.5464,25.75,85,97,5.01,RU,1619889572
rikitea,-23.1203,-134.9692,76.41,81,86,9.37,PF,1619889572
maceio,-9.6658,-35.7353,84.2,70,75,13.8,BR,1619889307
ilulissat,69.2167,-51.1,42.8,49,20,4.61,GL,1619889572
jamestown,42.097,-79.2353,55.0,34,1,6.91,US,1619889286
chibuto,-24.6867,33.5306,69.04,67,76,12.15,MZ,1619889573
pacific grove,36.6177,-121.9166,62.01,72,90,5.75,US,1619889549
natal,-5.795,-35.2094,87.8,62,40,18.41,BR,1619889573
mar del plata,-38.0023,-57.5575,72.0,53,0,18.41,AR,1619889552
kodiak,57.79,-152.4072,37.4,87,1,4.61,US,1619889573
ushuaia,-54.8,-68.3,42.8,75,20,6.91,AR,1619889543
mahebourg,-20.4081,57.7,75.2,88,40,3.44,MU,1619889574
praia,14.9215,-23.5087,78.8,53,20,20.71,CV,1619889574
hermanus,-34.4187,19.2345,61.0,73,20,1.99,ZA,1619889575
capreol,46.706,-80.9225,42.01,52,90,18.41,CA,1619889336
ilinskiy,55.619,38.1182,50.0,37,0,4.47,RU,1619889575
georgetown,5.4112,100.3354,78.01,88,40,8.05,MY,1619889309
codrington,-38.2667,141.9667,59.2,73,89,6.38,AU,1619889575
vadinsk,53.6916,43.0574,48.94,79,84,7.81,RU,1619889576
kapaa,22.0752,-159.319,75.2,78,90,12.66,US,1619889366
yekepa,7.5753,-8.5419,85.53,54,99,3.11,LR,1619889576
caravelas,-17.7125,-39.2481,80.02,52,100,12.21,BR,1619889576
shingu,33.7333,135.9833,52.77,74,1,8.68,JP,1619889577
filingue,14.3521,3.3168,107.62,6,0,5.99,NE,1619889577
victoria,22.2855,114.1577,79.0,83,80,5.5,HK,1619889330
san pedro,14.35,121.0167,82.4,74,20,6.91,PH,1619889577
banepa,27.6298,85.5214,62.6,94,75,3.89,NP,1619889578
port lincoln,-34.7333,135.8667,61.48,69,16,15.32,AU,1619889578
tarauaca,-8.1614,-70.7656,89.6,46,15,2.55,BR,1619889578
longyearbyen,78.2186,15.6401,21.2,63,20,6.91,SJ,1619889579
kaitangata,-46.2817,169.8464,48.0,71,1,7.0,NZ,1619889579
constitucion,-35.3333,-72.4167,54.9,96,100,7.96,CL,1619889579
boa vista,2.8197,-60.6733,89.6,51,75,11.5,BR,1619889580
hamilton,39.1834,-84.5333,63.0,42,1,10.36,US,1619889580
ballina,-28.8667,153.5667,68.0,73,75,8.05,AU,1619889580
jumla,29.2747,82.1838,51.94,80,70,2.77,NP,1619889581
nuuk,64.1835,-51.7216,41.0,65,20,4.61,GL,1619889581
sao raimundo das mangabeiras,-7.0219,-45.4811,88.32,47,86,8.16,BR,1619889581
mandurah,-32.55,115.7,55.99,73,4,7.7,AU,1619889582
half moon bay,37.4636,-122.4286,64.0,94,90,13.8,US,1619889305
lavrentiya,65.5833,-171.0,10.15,84,58,4.94,RU,1619889582
nikolskoye,59.7035,30.7861,43.0,56,20,13.42,RU,1619889582
killybegs,54.6333,-8.45,50.0,53,0,12.66,IE,1619889582
sungaipenuh,-2.0833,101.3833,65.16,97,89,4.32,ID,1619889583
saint-philippe,-21.3585,55.7679,77.0,78,0,3.44,RE,1619889583
saint-pierre,-21.3393,55.4781,77.0,78,0,3.44,RE,1619889584
ponta do sol,32.6667,-17.1,63.0,60,69,5.01,PT,1619889584
puerto ayora,-0.7393,-90.3518,82.4,69,75,17.27,EC,1619889584
burnie,-41.0667,145.9167,53.01,94,100,3.0,AU,1619889584
coquimbo,-29.9533,-71.3436,64.4,55,0,10.36,CL,1619889585
havre-saint-pierre,50.2334,-63.5986,50.0,53,90,12.66,CA,1619889585
college,64.8569,-147.8028,34.0,51,75,2.8,US,1619889585
samarai,-10.6167,150.6667,79.72,81,47,9.69,PG,1619889586
muros,42.7762,-9.0603,61.0,40,86,14.43,ES,1619889476
lokosovo,61.1333,74.8167,34.0,78,63,6.04,RU,1619889586
kenda,23.2,86.5333,82.29,56,5,10.16,IN,1619889586
hanko,59.8333,22.95,43.0,37,72,1.99,FI,1619889587
tabuk,17.4189,121.4443,74.79,88,8,1.34,PH,1619889587
provideniya,64.3833,-173.3,21.34,69,81,5.84,RU,1619889587
tuktoyaktuk,69.4541,-133.0374,14.0,85,75,11.5,CA,1619889588
bethel,41.3712,-73.414,59.0,41,1,12.66,US,1619889509
fort nelson,58.8053,-122.7002,46.4,49,75,4.61,CA,1619889588
novovoronezh,51.3072,39.2173,57.2,47,0,6.71,RU,1619889588
korla,41.7597,86.1469,71.06,19,34,16.62,CN,1619889589
grindavik,63.8424,-22.4338,42.8,52,40,17.27,IS,1619889589
